lims_pedon_id,lims_pedon_natural_key,user_pedon_id,observation_date_id,pedon_unit,pedon_status,part_size_cntrl_depth_to_top,part_size_cntrl_depth_to_bot,lims_site_id,user_site_id,horizontal_datum_name,latitude_degrees,latitude_minutes,latitude_seconds,latitude_direction,longitude_degrees,longitude_minutes,longitude_seconds,longitude_direction,latitude_std_decimal_degrees,longitude_std_decimal_degrees,proj_id,lab_proj_name,submit_proj_name,project_source,proj_type,proj_status,fiscal_year,proj_submit_date_id,proj_export_date_id,proj_due_date_id,proj_est_comp_date_id,project_folder_path,proj_note,horizon_count_kssl,maximum_profile_depth_cm,surface_horizon_designation,surface_top_depth_cm,surface_bottom_depth_cm,has_g_designated_horizon,g_designated_horizon_count,horizons_with_mir,mir_scan_count,has_any_selected_chemistry,horizons_with_organic_carbon,has_organic_carbon,horizons_with_total_carbon,has_total_carbon,horizons_with_fe_dithionite,has_fe_dithionite,horizons_with_fe_oxalate,has_fe_oxalate,horizons_with_clay,has_clay,horizons_with_sand,has_sand,horizons_with_silt,has_silt,horizons_with_ph_water,has_ph_water,horizons_with_ph_cacl2,has_ph_cacl2,horizons_with_cec_nh4oac,has_cec_nh4oac,horizons_with_water_retention_15bar,has_water_retention_15bar,horizons_with_water_retention_third_bar,has_water_retention_third_bar,current_taxon_name,current_taxon_kind,current_series_status,current_taxonomic_classification_name,current_taxonomic_order,current_taxonomic_suborder,current_taxonomic_great_group,current_taxonomic_subgroup,current_taxonomic_family_particle_size,current_taxonomic_family_part_size_mod,current_taxonomic_family_c_e_act_class,current_taxonomic_family_reaction,current_taxonomic_family_temp_class,current_taxonomic_family_haht_mat_class,current_taxonomic_moisture_subclass,current_taxonomic_temp_regime,current_taxonomic_classification_type,current_taxonomic_classification_date_id,current_lims_pedon_tax_hist_id,taxonomy_history_record_count,taxonomy_history_record_ids,historical_classification_types,historical_taxon_names,historical_classification_names,historical_orders,historical_suborders,historical_great_groups,historical_subgroups,area_record_count,area_ids,area_types,area_codes,soil_survey_area_symbols,soil_survey_area_names,likely_neon_site_code,has_coordinates,coordinate_source,coordinate_precision_available,current_taxonomy_selection_note,sample_count,sample_ids,sample_submit_ids,sample_received_date_ids,sample_login_date_ids,sample_types,sample_conditions,sample_statuses,earliest_sample_received_date_id,latest_sample_received_date_id,earliest_sample_login_date_id,latest_sample_login_date_id,observation_date_iso,proj_submit_date_iso,proj_export_date_iso,proj_due_date_iso,proj_est_comp_date_iso,earliest_sample_received_date_iso,latest_sample_received_date_iso,earliest_sample_login_date_iso,latest_sample_login_date_iso,retrieval_success,number_of_matching_pedon_records,exact_identifier_match,returned_user_pedon_ids,site_id,latitude,longitude,observation_date,current_correlated_soil_name,taxonomy,drainage_class,flooding,ponding,horizon_count_nasis,maximum_described_depth_cm,certified_lab_pedon_description,record_origin,usable_morphology,request_error,raw_html_file
34938,16N0383,S2015ND093009,,,not started,25.0,100.0,28773,S2015ND093009,WGS84,,,,north,,,,west,47.144874,-99.233198,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,4,100.0,A,0.0,20.0,0,0,4,20,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,Zahl,series,established,"Fine-loamy, mixed, superactive, frigid Typic Calciustoll",mollisols,ustolls,calciustolls,typic calciustolls,fine-loamy,,superactive,,frigid,,,,sampled as,42326.0,12485.0,1.0,12485,sampled as,Zahl,"Fine-loamy, mixed, superactive, frigid Typic Calciustoll",mollisols,ustolls,calciustolls,typic calciustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,4,242076 | 242077 | 242078 | 242079,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093009,S2015ND093009,47.146,-99.233,11/18/2015 (entry creation date),Zahl,"Fine-loamy, mixed, active, frigid Typic Calciustolls",well,,,4,100.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093009.html
34939,16N0384,S2015ND093010,,,not started,25.0,100.0,28774,S2015ND093010,WGS84,,,,north,,,,west,47.1465,-99.225673,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,3,100.0,A,0.0,18.0,0,0,3,12,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,Wabeck,series,proposed,"Fine-loamy over sandy or sandy-skeletal, mixed, frigid Typic Haplustoll",mollisols,ustolls,haplustolls,typic haplustolls,fine-loamy over sandy or sandy-skeletal,,,,frigid,,,,sampled as,42326.0,12486.0,1.0,12486,sampled as,Wabeck,"Fine-loamy over sandy or sandy-skeletal, mixed, frigid Typic Haplustoll",mollisols,ustolls,haplustolls,typic haplustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,3,242080 | 242081 | 242082,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093010,S2015ND093010,47.1465,-99.225673,11/18/2015 (entry creation date),Wabek,"Loamy-skeletal, mixed, frigid Entic Haplustolls",excessively,,,3,100.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093010.html
34940,16N0385,S2015ND093013,,,not started,25.0,100.0,28775,S2015ND093013,WGS84,,,,north,,,,west,47.137,-99.229,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,4,100.0,A,0.0,25.0,0,0,4,16,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,Wyard,series,established,"Fine-loamy, mixed, superactive, frigid Typic Endoaquoll",mollisols,aquolls,endoaquolls,typic endoaquolls,fine-loamy,,superactive,,frigid,,,,sampled as,42326.0,12487.0,1.0,12487,sampled as,Wyard,"Fine-loamy, mixed, superactive, frigid Typic Endoaquoll",mollisols,aquolls,endoaquolls,typic endoaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,4,242083 | 242084 | 242085 | 242086,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093013,S2015ND093013,47.136,-99.233,11/18/2015 (entry creation date),Typic Caciaquoll,"Fine, smectitic, frigid Typic Calciaquolls",somewhat poorly,,,4,100.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093013.html
34941,16N0386,S2015ND093017,,,not started,25.0,100.0,28776,S2015ND093017,WGS84,,,,north,,,,west,47.137,-99.234,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,5,200.0,A,0.0,26.0,0,0,5,28,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,Schaller,series,established,"Sandy, mixed, frigid Entic Haplustoll",mollisols,ustolls,haplustolls,entic haplustolls,sandy,,,,frigid,,,,sampled as,42312.0,12488.0,1.0,12488,sampled as,Schaller,"Sandy, mixed, frigid Entic Haplustoll",mollisols,ustolls,haplustolls,entic haplustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,5,242087 | 242088 | 242089 | 242090 | 242091,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093017,S2015ND093017,47.131,-99.234,11/4/2015 (actual site observation date),Schaller,"Sandy, mixed, frigid Entic Haplustolls",excessively,,,5,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093017.html
34942,16N0387,S2015ND093019,,,not started,14.0,47.0,28777,S2015ND093019,WGS84,,,,north,,,,west,47.146553,-99.245216,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,5,200.0,A,0.0,14.0,0,0,5,20,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,3,1,Williams,series,established,"Fine-loamy, mixed, superactive, frigid Typic Argiustoll",mollisols,ustolls,argiustolls,typic argiustolls,fine-loamy,,superactive,,frigid,,,,sampled as,42311.0,12489.0,1.0,12489,sampled as,Williams,"Fine-loamy, mixed, superactive, frigid Typic Argiustoll",mollisols,ustolls,argiustolls,typic argiustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,5,242092 | 242093 | 242094 | 242095 | 242096,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093019,S2015ND093019,47.146553,-99.245216,11/3/2015 (actual site observation date),Max,"Fine-loamy, mixed, active, frigid Typic Haplustolls",well,,,5,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093019.html
34943,16N0388,S2015ND093021,,,not started,25.0,100.0,28778,S2015ND093021,WGS84,,,,north,,,,west,47.146,-99.244,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,5,200.0,Oe,0.0,18.0,1,3,5,20,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,0,0,Colvin,series,established,"Fine-silty, mixed, superactive, frigid Typic Calciaquoll",mollisols,aquolls,calciaquolls,typic calciaquolls,fine-silty,,superactive,,frigid,,,,sampled as,42311.0,12490.0,1.0,12490,sampled as,Colvin,"Fine-silty, mixed, superactive, frigid Typic Calciaquoll",mollisols,aquolls,calciaquolls,typic calciaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,5,242097 | 242098 | 242099 | 242100 | 242101,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093021,S2015ND093021,47.146,-99.244,11/3/2015 (actual site observation date),Colvin,"Fine-silty, mixed, superactive, frigid Typic Calciaquolls",poorly,,frequent ponding for very long periods,5,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093021.html
34944,16N0389,S2015ND093022,,,not started,25.0,100.0,28779,S2015ND093022,WGS84,,,,north,,,,west,47.146167,-99.263711,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,4,200.0,Oe,0.0,18.0,1,2,4,20,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,0,Southam,taxadjunct,established,"Fine, smectitic, calcareous, frigid Vertic Endoaquoll",mollisols,aquolls,endoaquolls,vertic endoaquolls,fine,,,calcareous,frigid,,,,sampled as,42311.0,12491.0,1.0,12491,sampled as,Southam,"Fine, smectitic, calcareous, frigid Vertic Endoaquoll",mollisols,aquolls,endoaquolls,vertic endoaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,4,242102 | 242103 | 242104 | 242105,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093022,S2015ND093022,47.1461,-99.266,11/3/2015 (actual site observation date),Southam,"Fine, smectitic, calcareous, frigid Vertic Endoaquolls",very poorly,,frequent ponding for very long periods,4,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093022.html
34945,16N0390,S2015ND093026,,,not started,36.0,100.0,28780,S2015ND093026,WGS84,,,,north,,,,west,47.151072,-99.253018,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,7,200.0,Oi,0.0,2.0,1,4,7,28,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,6,1,6,1,7,1,7,1,0,0,Parnell,series,established,"Fine, smectitic, frigid Vertic Argiaquoll",mollisols,aquolls,argiaquolls,vertic argiaquolls,fine,,,,frigid,,,,sampled as,42306.0,12492.0,1.0,12492,sampled as,Parnell,"Fine, smectitic, frigid Vertic Argiaquoll",mollisols,aquolls,argiaquolls,vertic argiaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,7,242106 | 242107 | 242108 | 242109 | 242110 | 242111 | 242112,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093026,S2015ND093026,47.151072,-99.253018,10/29/2015 (actual site observation date),Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",very poorly,,frequent ponding for very long periods,7,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093026.html
34946,16N0391,S2015ND093028,,,not started,25.0,53.0,28781,S2015ND093028,WGS84,,,,north,,,,west,47.140568,-99.252037,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,6,200.0,Oi,0.0,5.0,1,4,6,24,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,3,1,Parnell,series,established,"Fine, smectitic, frigid Vertic Argiaquoll",mollisols,aquolls,argiaquolls,vertic argiaquolls,fine,,,,frigid,,,,sampled as,42310.0,12493.0,1.0,12493,sampled as,Parnell,"Fine, smectitic, frigid Vertic Argiaquoll",mollisols,aquolls,argiaquolls,vertic argiaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,6,242113 | 242114 | 242115 | 242116 | 242117 | 242118,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093028,S2015ND093028,47.140568,-99.252037,11/2/2015 (actual site observation date),Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",poorly,,frequent ponding for very long periods,6,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093028.html
34947,16N0392,S2015ND093029,,,not started,25.0,100.0,28782,S2015ND093029,WGS84,,,,north,,,,west,47.122,-99.239,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,5,100.0,Oi,0.0,1.0,1,2,5,24,1,5,1,5,1,5,1,5,1,4,1,4,1,4,1,5,1,5,1,5,1,5,1,0,0,Mcdonaldsville,taxadjunct,established,"Clayey over sandy or sandy-skeletal, smectitic, frigid Vertic Epiaquoll",mollisols,aquolls,epiaquolls,vertic epiaquolls,clayey over sandy or sandy-skeletal,,,,frigid,,,,sampled as,42312.0,12494.0,1.0,12494,sampled as,Mcdonaldsville,"Clayey over sandy or sandy-skeletal, smectitic, frigid Vertic Epiaquoll",mollisols,aquolls,epiaquolls,vertic epiaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,5,242119 | 242120 | 242121 | 242122 | 242123,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093029,S2015ND093029,47.122,-99.239,11/4/2015 (actual site observation date),McDonaldsville,"Loamy-skeletal, mixed, superactive, frigid Typic Calciaquolls",very poorly,,frequent ponding for very long periods,5,100.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093029.html
34948,16N0393,S2015ND093030,,,not started,25.0,100.0,28783,S2015ND093030,WGS84,,,,north,,,,west,47.137925,-99.243418,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,5,200.0,Ag1,15.0,23.0,1,5,5,24,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,0,0,Southam,series,established,"Fine, smectitic, calcareous, frigid Cumulic Vertic Endoaquoll",mollisols,aquolls,endoaquolls,cumulic vertic endoaquolls,fine,,,calcareous,frigid,,,,sampled as,42310.0,12495.0,1.0,12495,sampled as,Southam,"Fine, smectitic, calcareous, frigid Cumulic Vertic Endoaquoll",mollisols,aquolls,endoaquolls,cumulic vertic endoaquolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,5,242125 | 242126 | 242127 | 242128 | 242129,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093030,S2015ND093030,47.137925,-99.243418,11/2/2015 (actual site observation date),SND,"Fine-loamy, carbonatic, frigid Cumulic Endoaquolls",very poorly,,frequent ponding for very long periods,6,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093030.html
34949,16N0394,S2015ND093031,,,not started,35.0,100.0,28784,S2015ND093031,WGS84,,,,north,,,,west,47.128,-99.243,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,4,100.0,A,0.0,29.0,0,0,4,16,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,0,Tonka,series,established,"Fine, smectitic, frigid Argiaquic Argialboll",mollisols,albolls,argialbolls,argiaquic argialbolls,fine,,,,frigid,,,,sampled as,42326.0,12496.0,1.0,12496,sampled as,Tonka,"Fine, smectitic, frigid Argiaquic Argialboll",mollisols,albolls,argialbolls,argiaquic argialbolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,4,242130 | 242131 | 242132 | 242133,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093031,S2015ND093031,47.128,-99.243,11/18/2015 (entry creation date),Tonka,"Fine, smectitic, frigid Argiaquic Argialbolls",poorly,,frequent ponding for long periods,6,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093031.html
34950,16N0395,S2015ND093032,,,not started,25.0,100.0,28785,S2015ND093032,WGS84,,,,north,,,,west,47.130825,-99.243025,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,3,100.0,A,0.0,44.0,0,0,3,12,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,0,0,Makoti,series,established,"Fine-silty, mixed, superactive, frigid Pachic Haplustoll",mollisols,ustolls,haplustolls,pachic haplustolls,fine-silty,,superactive,,frigid,,,,sampled as,42326.0,12497.0,1.0,12497,sampled as,Makoti,"Fine-silty, mixed, superactive, frigid Pachic Haplustoll",mollisols,ustolls,haplustolls,pachic haplustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,3,242134 | 242135 | 242136,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093032,S2015ND093032,47.132,-99.243,11/18/2015 (entry creation date),Roseglen,"Fine-loamy, mixed, superactive, frigid Pachic Haplustolls",moderately well,,,4,200.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093032.html
34951,16N0396,S2015ND093033,,,not started,25.0,100.0,28786,S2015ND093033,WGS84,,,,north,,,,west,47.128106,-99.243791,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,3,100.0,Ap,0.0,20.0,0,0,3,12,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,0,0,Bryant,series,established,"Fine-silty, mixed, superactive, frigid Typic Haplustoll",mollisols,ustolls,haplustolls,typic haplustolls,fine-silty,,superactive,,frigid,,,,sampled as,42326.0,12498.0,1.0,12498,sampled as,Bryant,"Fine-silty, mixed, superactive, frigid Typic Haplustoll",mollisols,ustolls,haplustolls,typic haplustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,3,242137 | 242138 | 242139,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093033,S2015ND093033,47.128106,-99.243791,11/18/2015 (entry creation date),Tansem,"Coarse-loamy, mixed, active, frigid Typic Haplustolls",well,,,3,100.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093033.html
34952,16N0397,S2015ND093034,,,not started,25.0,100.0,28787,S2015ND093034,WGS84,,,,north,,,,west,47.127281,-99.246569,4878,C2016USND034,Site_C NEON ND Stutsman Co.,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND034\,VNIR - 7/2019 Caco reruns 12/2016 pj,4,100.0,Ap,0.0,20.0,0,0,4,16,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,0,Zahl,series,established,"Fine-loamy, mixed, superactive, frigid Typic Calciustoll",mollisols,ustolls,calciustolls,typic calciustolls,fine-loamy,,superactive,,frigid,,,,sampled as,42326.0,12499.0,1.0,12499,sampled as,Zahl,"Fine-loamy, mixed, superactive, frigid Typic Calciustoll",mollisols,ustolls,calciustolls,typic calciustolls,5,244 | 3981 | 6105 | 7621 | 8335,country | county | mlra | ssa | state_admin_div,53B | ND | ND093 | US,ND093,"Stutsman County, North Dakota",,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,4,242140 | 242141 | 242142 | 242143,,42396,42396,bulk,normal,submitted,42396,42396,42396,42396,,,,,,2016-01-27,2016-01-27,2016-01-27,2016-01-27,1,1,1,S2015ND093034,S2015ND093034,47.128,-99.245,11/18/2015 (entry creation date),Zahl,"Coarse-loamy, mixed, superactive, frigid Typic Calciustolls",well,,,4,100.0,yes,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2015ND093034.html
35444,16N0916,S2016ND059001,,,not started,25.0,100.0,29278,S2016ND059001,WGS84,,,,north,,,,west,46.805925,-100.915698,4966,C2016USND122,Site_C NEON_10_NOGP,NEON,characterization,completed,2016,,,,,\\aioneli93ap1\Read_Write\LIMS_PROJECTS\C2016USND122\,VNIR - 7/2019,4,140.0,A1,0.0,30.0,0,0,4,16,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,Parshall,series,established,"Coarse-loamy, mixed, superactive, frigid Pachic Haplustoll",mollisols,ustolls,haplustolls,pachic haplustolls,coarse-loamy,,superactive,,frigid,,,,sampled as,42499.0,12676.0,1.0,12676,sampled as,Parshall,"Coarse-loamy, mixed, superactive, frigid Pachic Haplustoll",mollisols,ustolls,haplustolls,pachic haplustolls,5,244 | 3981 | 6088 | 7623 | 8318,country | county | mlra | ssa | state_admin_div,54 | ND | ND059 | US,ND059,"Morton County, North Dakota",NOGP,1,lims_site standardized decimal degrees,0,Highest classification-date ID then taxonomy-history ID; verify against authoritative NASIS,4,247266 | 247267 | 247268 | 247269,,42542 | 42667,42542,bulk,normal,submitted,42542,42667,42542,42542,,,,,,2016-06-21,2016-10-24,2016-06-21,2016-06-21,1,1,1,S2016ND059001,S2016ND059001,46.805925,-100.915698,5/9/2016 (actual site observation date),Parshall,"Coarse-loamy, mixed, superactive, frigid Pachic Haplustolls",well,none flooding,none ponding,6,200.0,no,NASIS,1,,outputs\tables\kssl_neon_linkage\nasis_raw_html\S2016ND059001.html
